MedDRA;PT Name;SOC Name
10061188;Haematotoxicity;Blood and lymphatic system disorders
10091602;Paraneoplastic leukaemoid reaction;Blood and lymphatic system disorders
10059440;Platelet toxicity;Blood and lymphatic system disorders
10063846;Splenic sequestration crisis;Blood and lymphatic system disorders
10091835;Degenerative cardiac valve disease;Cardiac disorders
10091786;Intramyocardial dissecting haematoma;Cardiac disorders
10091865;Ventricular hyperexcitability;Cardiac disorders
10091307;CHD4-related neurodevelopmental syndrome;Congenital, familial and genetic disorders
10091780;Desmin gene mutation;Congenital, familial and genetic disorders
10091914;DYRK1A syndrome;Congenital, familial and genetic disorders
10091669;Oculomandibulofacial syndrome;Congenital, familial and genetic disorders
10091964;Polycoria;Congenital, familial and genetic disorders
10091808;Shapiro syndrome;Congenital, familial and genetic disorders
10063654;Testotoxicosis;Congenital, familial and genetic disorders
10091877;WAGR syndrome;Congenital, familial and genetic disorders
10091528;Witteveen-Kolk syndrome;Congenital, familial and genetic disorders
10091361;Adrenal infarction;Endocrine disorders
10063003;Endocrine toxicity;Endocrine disorders
10043788;Thyrotoxic periodic paralysis;Endocrine disorders
10091735;Acquired anophthalmos;Eye disorders
10091730;Acute corneal hydrops;Eye disorders
10006564;Bullous keratopathy;Eye disorders
10091584;Combined retinal detachment;Eye disorders
10082599;Corneal toxicity;Eye disorders
10091950;Dragged-fovea diplopia syndrome;Eye disorders
10091807;Enteropathic uveitis;Eye disorders
10091533;Ocular stroke;Eye disorders
10061137;Ocular toxicity;Eye disorders
10059024;Gastrointestinal toxicity;Gastrointestinal disorders
10076205;Pancreatic toxicity;Gastrointestinal disorders
10091875;Reactive infectious mucocutaneous eruption;Gastrointestinal disorders
10040633;Sicca syndrome;Gastrointestinal disorders
10076599;Ulcerative gastritis;Gastrointestinal disorders
10091652;Ulcerative jejunitis;Gastrointestinal disorders
10079590;Prosthetic valve leaflet thickening;General disorders and administration site conditions
10091874;IgG deficiency;Immune system disorders
10091973;Immunoparesis;Immune system disorders
10091477;Chandipura virus infection;Infections and infestations
10091502;Coenurosis;Infections and infestations
10091844;Disseminated nocardiosis;Infections and infestations
10091866;Fungal abdominal infection;Infections and infestations
10091745;Haemorrhagic cellulitis;Infections and infestations
10091537;Helicobacter bacteraemia;Infections and infestations
10089849;Maxillofacial space infection;Infections and infestations
10091407;Mycobacterium paraffinicum infection;Infections and infestations
10091721;Pasteurella bacteraemia;Infections and infestations
10091534;Powassan virus encephalitis;Infections and infestations
10091857;Scrotal pyocele;Infections and infestations
10091701;Tuberculosis sepsis;Infections and infestations
10010214;Compression fracture;Injury, poisoning and procedural complications
10080967;Contrast media toxicity;Injury, poisoning and procedural complications
10065617;Psychosis postoperative;Injury, poisoning and procedural complications
10090436;Secondary failure of platelet recovery;Injury, poisoning and procedural complications
10080606;Systemic toxicity;Injury, poisoning and procedural complications
10091616;Vitreous incarceration;Injury, poisoning and procedural complications
10091138;Vitreous wick syndrome;Injury, poisoning and procedural complications
10091577;Albuminocytological dissociation present;Investigations
10091476;Chandipura virus test positive;Investigations
10091977;Electrocardiogram QRS complex alternans;Investigations
10070382;Marburg virus test positive;Investigations
10051317;Syphilis test positive;Investigations
10006966;Calcium intoxication;Metabolism and nutrition disorders
10091984;Presymptomatic type 1 diabetes mellitus;Metabolism and nutrition disorders
10000606;Acrosclerosis;Musculoskeletal and connective tissue disorders
10068323;Arthrotoxicity;Musculoskeletal and connective tissue disorders
10091955;Bone crisis;Musculoskeletal and connective tissue disorders
10071365;Chondrotoxicity;Musculoskeletal and connective tissue disorders
10091463;Seronegative spondyloarthritis;Musculoskeletal and connective tissue disorders
10091690;Adenoid basal carcinoma of cervix;Neoplasms benign, malignant and unspecified (incl cysts and polyps)
10091399;Bladder papillary urothelial neoplasm of low malignant potential;Neoplasms benign, malignant and unspecified (incl cysts and polyps)
10092013;FGFR1 gene fusion cancer;Neoplasms benign, malignant and unspecified (incl cysts and polyps)
10091997;FGFR2 gene fusion cancer;Neoplasms benign, malignant and unspecified (incl cysts and polyps)
10092004;FGFR3 gene fusion cancer;Neoplasms benign, malignant and unspecified (incl cysts and polyps)
10092014;FGFR4 gene fusion cancer;Neoplasms benign, malignant and unspecified (incl cysts and polyps)
10092021;HER2 ultralow breast cancer;Neoplasms benign, malignant and unspecified (incl cysts and polyps)
10091834;Malignant melanoma stage 0;Neoplasms benign, malignant and unspecified (incl cysts and polyps)
10091776;MET exon 14 skipping mutation cancer;Neoplasms benign, malignant and unspecified (incl cysts and polyps)
10091772;MET gene amplified cancer;Neoplasms benign, malignant and unspecified (incl cysts and polyps)
10091768;MET gene fusion cancer;Neoplasms benign, malignant and unspecified (incl cysts and polyps)
10091631;Neuroleukaemiosis;Neoplasms benign, malignant and unspecified (incl cysts and polyps)
10091801;Oral erythroplasia;Neoplasms benign, malignant and unspecified (incl cysts and polyps)
10091956;Papillary urothelial neoplasm of low malignant potential;Neoplasms benign, malignant and unspecified (incl cysts and polyps)
10092056;Pulmonary artery intimal sarcoma;Neoplasms benign, malignant and unspecified (incl cysts and polyps)
10091366;Spindle cell/sclerosing rhabdomyosarcoma;Neoplasms benign, malignant and unspecified (incl cysts and polyps)
10091779;T-cell malignancy;Neoplasms benign, malignant and unspecified (incl cysts and polyps)
10091638;Well-differentiated liposarcoma;Neoplasms benign, malignant and unspecified (incl cysts and polyps)
10091675;Baroreflex failure;Nervous system disorders
10091936;Intracranial venous sinus stenosis;Nervous system disorders
10091715;Tardive akathisia;Nervous system disorders
10091562;Terson syndrome;Nervous system disorders
10091321;Tumour inflammation-associated neurotoxicity;Nervous system disorders
10091393;Uteroplacental acute atherosis;Pregnancy, puerperium and perinatal conditions
10001632;Alcoholic psychosis;Psychiatric disorders
10037249;Psychotic behaviour;Psychiatric disorders
10061920;Psychotic disorder;Psychiatric disorders
10072388;Substance-induced psychotic disorder;Psychiatric disorders
10091507;Aristolochic acid nephropathy;Renal and urinary disorders
